address,born_chain,born_time,,value
0x4b8bb6aab9de68ad259bb445c95a8443e6e758f7,born_chain： eth,born_time： 2022-06-23 20：08：27,usd,1606.619336
0x7b1e6c9b0d15a7e1dfa95b9a82b78edcfd745064,born_chain： eth,born_time： 2022-06-23 20：07：11,usd,1576.473055
0x0ec65a7a1f802891010ef32b6e50d2ddaf0eaea9,born_chain： eth,born_time： 2022-06-23 19：58：28,usd,1591.235925
0x41981e85f8bf134bdd8c6466c16b8c157ba2589d,born_chain： eth,born_time： 2022-06-23 19：48：43,usd,1644.194476
0x3828451a31bea0ed2d621c564a98885538a3e9e8,born_chain： eth,born_time： 2022-06-23 19：38：17,usd,1624.738688
0x299f20afbbbdfc1bc816b3fb679550990bc79292,born_chain： eth,born_time： 2022-06-23 19：34：02,usd,1598.907022
0x772beb52a2fd1c018773c938602b1dc906c6ef88,born_chain： eth,born_time： 2022-06-23 19：21：39,usd,1541.786828
0x02dfc1753f5ddc661755aa026b0db57c00a1f36f,born_chain： eth,born_time： 2022-06-23 18：52：54,usd,1535.446634
0x55a919408ca6eb96080205dc66016cd513192f6d,born_chain： eth,born_time： 2022-06-23 18：49：35,usd,1637.746279
0x1e5c37628d3948dfffdf69a26066d3a6450ded98,born_chain： eth,born_time： 2022-06-23 18：23：24,usd,1604.337373
0x600babec59fc70d6ad028943ea8294d2e4416e81,born_chain： eth,born_time： 2022-06-23 18：22：11,usd,1622.522819
0x7645f53e571874497dbd023107da35e29f5c058f,born_chain： eth,born_time： 2022-06-23 18：22：11,usd,1586.790917
0x5077cbc980640489b51f518f26c72ebf12536ccf,born_chain： eth,born_time： 2022-06-23 18：15：50,usd,1625.374805
0x5053631bd9d64150d2514e48c33c613c8e0574ce,born_chain： eth,born_time： 2022-06-23 18：14：50,usd,1538.642792
0x059cf7078a7b5dd66a297572e1d6f4df373befd1,born_chain： eth,born_time： 2022-06-23 18：13：15,usd,1606.130216
0x2712e85ab2ae6a6f80502136b7cc20dd9da4573e,born_chain： eth,born_time： 2022-06-23 18：03：37,usd,1619.128362
